BIO 201: Cell Biology
Fall 2026
Instructor: Dr. Amara Okafor
Class meets Monday/Wednesday/Friday.
First day of classes: August 24, 2026. Last day (including finals): December 11, 2026.

GRADING
Exams: 50%
Homework: 30%
Quizzes: 20%

Late work loses 10% per day. Contact the instructor in advance for accommodations.

SCHEDULE
Date | Item | Category
Wednesday, Sept 16 at 11:59 PM | Homework 1 | Homework
September 23, 2026 at 2 PM | Exam 1 | Exams
September 23 | Quiz 1 | Quizzes
10/8 | Homework 2 | Homework
Wed 10/21 at 9 AM | Exam 2 | Exams
Wednesday, Oct 21 at 11:59 PM | Quiz 2 | Quizzes
October 31, 2026 | Homework 3 | Homework
November 20 at 10:30 AM | Exam 3 | Exams
11/20 at 11:59 PM | Quiz 3 | Quizzes
Mon 11/23 | Homework 4 | Homework
