CHEM 241: Organic Chemistry I
Fall 2026
Instructor: Dr. Priya Natarajan
Class meets Monday/Wednesday.
First day of classes: August 24, 2026. Last day (including finals): December 11, 2026.

GRADING
Projects: 40%
Exams: 40%
Homework: 20%

Late work loses 10% per day. Contact the instructor in advance for accommodations.

SCHEDULE
Date | Item | Category
September 9 at 11:59 PM | Homework 1 | Homework
9/16 | Project 1 | Projects
Wed 9/23 at 10:30 AM | Exam 1 | Exams
Thursday, Sept 24 at 11:59 PM | Homework 2 | Homework
October 8, 2026 at 11:59 PM | Project 2 | Projects
October 10 | Homework 3 | Homework
10/21 at 2 PM | Exam 2 | Exams
Mon 10/26 at 11:59 PM | Homework 4 | Homework
Saturday, Oct 31 at 11:59 PM | Project 3 | Projects
November 10, 2026 at 11:59 PM | Homework 5 | Homework
November 23 at 11:59 PM | Project 4 | Projects
11/23 at 10:30 AM | Exam 3 | Exams
Thu 11/26 at 11:59 PM | Homework 6 | Homework
