PHYS 211: Physics I: Mechanics
Fall 2026
Instructor: Dr. Sofia Petrova
Class meets Monday/Wednesday/Friday.
First day of classes: August 24, 2026. Last day (including finals): December 11, 2026.

GRADING
Labs: 30%
Exams: 45%
Quizzes: 15%
Participation: 10%

Late work loses 10% per day. Contact the instructor in advance for accommodations.

SCHEDULE
Date | Item | Category
Saturday, Sept 12 | Lab 1 | Labs
September 23, 2026 at 10:30 AM | Exam 1 | Exams
September 23 at 11:59 PM | Quiz 1 | Quizzes
9/30 at 11:59 PM | Lab 2 | Labs
Mon 10/19 at 11:59 PM | Lab 3 | Labs
Wednesday, Oct 21 at 1 PM | Exam 2 | Exams
October 21, 2026 | Quiz 2 | Quizzes
November 6 at 11:59 PM | Lab 4 | Labs
11/20 at 2 PM | Exam 3 | Exams
Fri 11/20 | Quiz 3 | Quizzes
Wednesday, Nov 25 at 11:59 PM | Lab 5 | Labs
